,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
1,CJ Abrams,25,0,Maj-NL,Washington,43,182,154,25,45,8,1,9,36,20,2,36,6,0,2,3,7,3,0.292,0.39,0.532,0.923,682928
2,Wilyer Abreu,27,0,Maj-AL,Boston,42,179,158,20,49,6,1,6,19,20,1,33,0,0,1,5,3,1,0.31,0.385,0.475,0.86,677800
3,Luisangel Acu\xc3\xb1a,24,0,Maj-AL,Chicago,33,92,83,8,15,1,0,0,3,6,0,15,1,1,1,3,7,1,0.181,0.242,0.193,0.435,682668
4,Ronald Acu\xc3\xb1a Jr.,28,12,Maj-NL,Atlanta,34,152,127,17,32,8,1,2,9,20,1,31,3,0,2,0,7,4,0.252,0.362,0.378,0.74,660670
5,Willy Adames,30,0,Maj-NL,San Francisco,43,182,174,15,38,12,0,3,11,7,0,55,1,0,0,1,1,2,0.218,0.253,0.339,0.592,642715
6,Jo Adell,27,1,Maj-AL,Los Angeles,44,184,171,16,46,5,0,6,25,5,0,41,6,0,2,5,2,0,0.269,0.31,0.404,0.713,666176
7,Ozzie Albies,29,0,Maj-NL,Atlanta,44,188,170,30,49,8,0,8,25,14,0,24,1,0,3,2,0,3,0.288,0.34,0.476,0.817,645277
8,Blaze Alexander,27,1,Maj-AL,Baltimore,36,100,90,10,22,2,1,0,5,6,0,30,1,2,0,4,4,1,0.244,0.299,0.289,0.588,677942
9,Nick Allen,27,4,Maj-AL,Houston,18,34,32,6,7,1,0,0,0,2,0,6,0,0,0,1,0,0,0.219,0.265,0.25,0.515,669397
10,Pete Alonso,31,1,Maj-AL,Baltimore,44,187,165,27,36,10,0,8,23,21,0,46,1,0,0,4,1,0,0.218,0.31,0.424,0.734,624413
11,Jose Altuve,36,0,Maj-AL,Houston,41,181,159,26,39,10,0,3,11,19,1,34,1,1,1,5,1,2,0.245,0.328,0.365,0.693,514888
12,Francisco Alvarez,24,2,Maj-NL,New York,37,128,112,12,27,5,0,4,10,11,0,28,2,0,1,10,0,0,0.241,0.317,0.393,0.71,682626
13,Yordan Alvarez,29,0,Maj-AL,Houston,45,198,165,29,53,11,0,14,30,28,7,31,4,0,1,2,1,0,0.321,0.429,0.642,1.072,670541
14,Miguel Amaya,27,0,Maj-NL,Chicago,24,75,61,11,14,1,0,2,8,10,0,17,3,1,0,1,0,0,0.23,0.365,0.344,0.709,665804
15,Miguel Andujar,31,0,Maj-NL,San Diego,32,118,114,10,33,9,2,3,12,3,0,23,1,0,0,2,1,1,0.289,0.314,0.482,0.796,609280
16,Roman Anthony,22,10,Maj-AL,Boston,30,130,109,12,25,5,1,1,5,20,1,33,1,0,0,0,2,0,0.229,0.354,0.321,0.675,701350
17,Sam Antonacci,23,0,Maj-AL,Chicago,26,97,80,14,23,5,2,1,9,6,0,11,8,2,1,0,3,3,0.288,0.389,0.438,0.827,803011
18,Jonathan Aranda,28,1,Maj-AL,Tampa Bay,42,181,148,23,42,5,0,8,33,25,2,42,3,0,5,1,0,0,0.284,0.387,0.48,0.866,666018
19,Nolan Arenado,35,1,Maj-NL,Arizona,40,149,135,22,37,6,0,6,20,11,0,30,1,0,2,4,0,0,0.274,0.329,0.452,0.781,571448
20,Gabriel Arias,26,38,Maj-AL,Cleveland,10,32,30,2,6,1,0,2,4,2,0,12,0,0,0,0,0,0,0.2,0.25,0.433,0.683,672356
21,Randy Arozarena,31,0,Maj-AL,Seattle,45,190,163,32,49,11,1,4,16,19,0,45,6,0,2,4,11,2,0.301,0.389,0.454,0.843,668227
22,Luis Arraez,29,0,Maj-NL,San Francisco,41,177,162,16,49,7,2,0,14,10,2,7,0,3,2,3,4,0,0.302,0.339,0.37,0.709,650333
23,Jos\xc3\xa9 Azocar,30,1,Maj-NL,Atlanta,4,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0.2,0.2,0.2,0.4,640492
24,Harrison Bader,32,2,Maj-NL,San Francisco,17,62,59,5,8,2,0,2,4,2,0,19,0,0,1,2,0,0,0.136,0.161,0.271,0.432,664056
25,Javier B\xc3\xa1ez,33,16,Maj-AL,Detroit,24,82,78,10,20,5,0,2,6,2,0,16,1,0,1,2,1,1,0.256,0.28,0.397,0.678,595879
27,Patrick Bailey,27,2,"Maj-AL,Maj-NL","Cleveland,San Francisco",32,94,87,5,12,0,0,1,6,7,0,23,0,0,0,4,2,0,0.138,0.202,0.172,0.375,672275
28,Luken Baker,29,30,Maj-NL,Arizona,3,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.2,0.4,663609
29,Drake Baldwin,25,0,Maj-NL,Atlanta,44,200,177,37,52,6,0,11,33,20,1,43,3,0,0,6,1,0,0.294,0.375,0.514,0.889,686948
30,Mois\xc3\xa9s Ballesteros,22,1,Maj-NL,Chicago,38,117,105,14,26,5,0,6,20,10,0,22,0,0,2,0,0,0,0.248,0.308,0.467,0.774,694208
31,Addison Barger,26,5,Maj-AL,Toronto,9,28,22,2,1,1,0,0,2,5,0,7,0,0,1,1,0,0,0.045,0.214,0.091,0.305,680718
32,Jorge Barrosa,25,1,Maj-NL,Arizona,32,88,78,10,15,9,1,1,7,7,0,26,1,2,0,1,0,0,0.192,0.267,0.372,0.639,678489
33,Joey Bart,29,5,Maj-NL,Pittsburgh,21,62,58,9,15,1,0,2,6,2,0,21,1,0,1,0,0,0,0.259,0.29,0.379,0.67,663698
34,Samuel Basallo,21,2,Maj-AL,Baltimore,34,130,119,15,33,7,1,5,16,11,1,32,0,0,0,1,0,0,0.277,0.338,0.479,0.817,694212
35,Brett Baty,26,0,Maj-NL,New York,40,139,123,17,27,6,1,2,15,12,0,37,1,0,2,2,2,1,0.22,0.29,0.333,0.623,683146
36,Jake Bauers,30,1,Maj-NL,Milwaukee,36,142,127,24,34,8,0,6,21,15,3,31,0,0,0,2,3,1,0.268,0.345,0.472,0.818,641343
37,Travis Bazzana,23,1,Maj-AL,Cleveland,14,59,45,7,10,1,0,1,6,12,1,9,2,0,0,0,7,0,0.222,0.407,0.311,0.718,683953
38,Dylan Beavers,24,4,Maj-AL,Baltimore,33,119,103,16,25,7,0,2,12,14,0,28,0,1,1,1,3,1,0.243,0.331,0.369,0.699,687637
39,Jordan Beck,25,0,Maj-NL,Colorado,30,88,82,7,15,5,1,1,10,5,0,22,0,0,1,3,2,1,0.183,0.227,0.305,0.532,687597
40,Josh Bell,33,0,Maj-AL,Minnesota,42,170,154,21,33,8,0,3,24,14,0,41,1,0,1,3,1,0,0.214,0.282,0.325,0.607,605137
41,Cody Bellinger,30,1,Maj-AL,New York,43,185,154,26,42,10,3,5,29,28,0,23,0,0,3,2,5,2,0.273,0.378,0.474,0.852,641355
42,Carson Benge,23,0,Maj-NL,New York,40,142,131,17,31,5,0,3,13,11,0,30,0,0,0,1,8,1,0.237,0.296,0.344,0.639,701807
43,Andrew Benintendi,31,0,Maj-AL,Chicago,39,136,124,13,27,5,2,2,17,9,0,42,0,0,3,3,0,0,0.218,0.265,0.339,0.603,643217
44,Will Benson,28,0,Maj-NL,Cincinnati,35,83,67,10,13,2,1,2,4,14,1,24,1,0,0,0,1,1,0.194,0.341,0.343,0.685,666181
45,Mookie Betts,33,1,Maj-NL,Los Angeles,11,45,41,8,7,1,0,3,8,3,0,5,1,0,0,3,0,0,0.171,0.244,0.415,0.659,605141
46,Bo Bichette,28,0,Maj-NL,New York,43,189,174,17,38,5,0,2,18,13,0,33,0,0,2,6,1,0,0.218,0.27,0.282,0.551,666182
47,Tyler Black,25,5,Maj-NL,Milwaukee,9,28,27,2,9,4,0,0,7,1,0,7,0,0,0,1,0,0,0.333,0.357,0.481,0.839,672012
48,JJ Bleday,28,0,Maj-NL,Cincinnati,16,66,53,10,17,3,1,6,18,13,1,10,0,0,0,0,1,1,0.321,0.455,0.755,1.209,668709
49,Ryan Bliss,26,47,Maj-AL,Seattle,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,669208
50,Xander Bogaerts,33,0,Maj-NL,San Diego,42,169,152,20,39,3,0,7,23,17,0,28,0,0,0,2,5,0,0.257,0.331,0.414,0.746,593428
51,Alec Bohm,29,0,Maj-NL,Philadelphia,40,160,144,11,28,4,0,3,20,11,0,24,2,0,3,1,0,0,0.194,0.256,0.285,0.541,664761
53,Henry Bolte,22,0,Maj-AL,Athletics,2,8,6,0,3,0,0,0,1,1,0,1,0,0,1,0,1,0,0.5,0.5,0.5,1.0,703607
54,Alex Bregman,32,0,Maj-NL,Chicago,43,195,171,17,42,5,1,4,14,22,2,33,1,0,1,7,2,0,0.246,0.333,0.357,0.69,608324
55,Will Brennan,28,13,Maj-NL,San Francisco,5,9,9,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0.0,0.0,0.0,0.0,686823
56,Juan Brito,24,18,Maj-AL,Cleveland,15,56,51,7,9,4,0,0,3,4,0,17,1,0,0,1,0,0,0.176,0.25,0.255,0.505,682877
57,Vidal Bruj\xc3\xa1n,28,6,Maj-NL,New York,2,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,660644
58,Jake Burger,30,1,Maj-AL,Texas,41,168,159,15,36,5,0,7,27,7,0,45,1,0,1,4,0,0,0.226,0.262,0.39,0.652,669394
59,Alec Burleson,27,0,Maj-NL,St. Louis,42,184,165,21,45,11,0,6,30,18,2,29,0,0,1,5,2,0,0.273,0.342,0.448,0.791,676475
60,Michael Busch,28,0,Maj-NL,Chicago,43,187,156,17,36,8,1,3,23,27,0,43,2,0,2,2,1,0,0.231,0.348,0.353,0.7,683737
61,Lawrence Butler,25,1,Maj-AL,Athletics,39,137,120,14,21,3,0,3,12,17,1,37,0,0,0,3,4,2,0.175,0.277,0.275,0.552,671732
62,Byron Buxton,32,1,Maj-AL,Minnesota,40,185,169,33,44,7,1,15,23,13,1,47,2,0,1,0,4,0,0.26,0.319,0.58,0.899,621439
63,Jos\xc3\xa9 Caballero,29,3,Maj-AL,New York,41,147,135,18,35,7,0,4,13,8,0,29,4,0,0,6,13,5,0.259,0.32,0.4,0.72,676609
64,Jac Caglianone,23,0,Maj-AL,Kansas City,40,141,128,17,30,7,1,4,8,11,0,42,2,0,0,1,0,1,0.234,0.305,0.398,0.703,695506
65,Owen Caissie,23,0,Maj-NL,Miami,37,120,106,13,22,6,0,3,19,8,0,49,2,0,4,1,2,0,0.208,0.267,0.349,0.616,683357
66,Alex Call,31,0,Maj-NL,Los Angeles,20,53,42,9,13,4,0,0,7,9,0,6,1,0,1,1,0,1,0.31,0.434,0.405,0.839,669743
67,Junior Caminero,22,1,Maj-AL,Tampa Bay,42,183,161,26,41,3,0,11,19,21,1,30,0,0,1,6,0,2,0.255,0.339,0.478,0.817,691406
68,Luis Campusano,27,9,Maj-NL,San Diego,18,58,52,9,15,7,0,3,10,5,0,15,1,0,0,0,0,0,0.288,0.362,0.596,0.958,669134
69,Jeimer Candelario,32,36,Maj-AL,Los Angeles,7,20,18,3,2,2,0,0,0,1,0,8,1,0,0,1,0,0,0.111,0.2,0.222,0.422,600869
70,Dominic Canzone,28,0,Maj-AL,Seattle,38,103,91,13,23,7,0,4,18,9,0,23,1,0,2,0,1,1,0.253,0.32,0.462,0.782,686527
71,Victor Caratini,32,0,Maj-AL,Minnesota,32,122,103,6,20,1,0,1,14,10,0,24,5,0,4,3,0,0,0.194,0.287,0.233,0.52,605170
72,Dylan Carlson,27,38,Maj-NL,Chicago,3,4,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,666185
73,Kerry Carpenter,28,5,Maj-AL,Detroit,37,117,102,11,22,2,2,6,17,11,0,40,2,0,2,1,0,0,0.216,0.299,0.451,0.75,681481
74,Corbin Carroll,25,1,Maj-NL,Arizona,40,167,139,26,37,10,4,5,20,24,1,39,2,0,2,1,5,0,0.266,0.377,0.504,0.881,682998
75,Evan Carter,23,1,Maj-AL,Texas,43,156,129,18,23,5,0,5,13,22,0,34,1,3,1,0,6,0,0.178,0.301,0.333,0.634,694497
76,Nick Castellanos,34,0,Maj-NL,San Diego,28,90,85,6,17,5,0,2,15,4,1,26,0,0,1,1,1,0,0.2,0.233,0.329,0.563,592206
77,Willi Castro,29,0,Maj-NL,Colorado,35,128,117,19,27,5,0,2,13,10,0,42,1,0,0,2,3,2,0.231,0.297,0.325,0.622,650489
79,Andr\xc3\xa9s Chaparro,27,19,Maj-NL,Washington,4,10,9,1,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0.222,0.3,0.333,0.633,665953
80,Matt Chapman,33,0,Maj-NL,San Francisco,43,179,161,16,36,8,1,1,14,16,0,44,2,0,0,4,0,1,0.224,0.302,0.304,0.606,656305
81,Jazz Chisholm Jr.,28,1,Maj-AL,New York,43,171,153,17,31,7,0,4,14,16,0,50,1,0,1,0,11,3,0.203,0.281,0.327,0.607,665862
82,Jackson Chourio,22,0,Maj-NL,Milwaukee,8,38,35,1,10,3,0,0,3,3,0,10,0,0,0,0,1,0,0.286,0.342,0.371,0.714,694192
83,Nathan Church,25,0,Maj-NL,St. Louis,40,136,127,15,31,5,0,5,18,5,0,28,2,0,2,3,3,2,0.244,0.279,0.402,0.681,701675
84,Denzel Clarke,26,24,Maj-AL,Athletics,22,60,53,4,9,1,0,0,6,4,0,24,0,3,0,1,2,0,0.17,0.228,0.189,0.417,672016
85,Kody Clemens,30,1,Maj-AL,Minnesota,32,116,99,14,22,7,0,4,10,11,0,31,4,2,0,1,5,2,0.222,0.325,0.414,0.739,665019
86,Ernie Clement,30,1,Maj-AL,Toronto,42,176,170,15,50,13,0,2,12,5,0,14,0,0,1,3,1,0,0.294,0.313,0.406,0.718,676391
87,Zach Cole,25,0,Maj-AL,Houston,9,29,28,2,7,1,0,2,6,0,0,12,1,0,0,0,0,0,0.25,0.276,0.5,0.776,805904
88,Isaac Collins,28,0,Maj-AL,Kansas City,38,140,118,16,27,5,0,3,13,17,0,38,4,0,1,2,2,3,0.229,0.343,0.347,0.69,686555
89,Michael Conforto,33,1,Maj-NL,Chicago,25,59,48,9,16,7,0,2,8,10,0,15,0,0,1,1,0,0,0.333,0.441,0.604,1.045,624424
90,Griffin Conine,28,35,Maj-NL,Miami,11,25,22,6,6,1,0,2,4,2,0,6,1,0,0,0,2,0,0.273,0.36,0.591,0.951,665052
91,William Contreras,28,0,Maj-NL,Milwaukee,39,174,153,23,43,8,0,3,26,19,2,20,1,0,1,4,0,0,0.281,0.362,0.392,0.754,661388
92,Willson Contreras,34,0,Maj-AL,Boston,41,174,143,19,36,5,0,8,23,20,0,48,8,0,3,5,1,0,0.252,0.368,0.455,0.822,575929
93,Billy Cook,27,0,Maj-NL,Pittsburgh,30,21,21,5,4,0,0,0,0,0,0,8,0,0,0,0,2,1,0.19,0.19,0.19,0.381,695257
94,Carlos Correa,31,10,Maj-AL,Houston,32,141,122,22,34,8,0,3,16,18,1,26,0,0,1,5,1,0,0.279,0.369,0.418,0.787,621043
95,Carlos Cortes,29,0,Maj-AL,Athletics,34,110,99,11,34,7,1,4,15,9,0,10,1,0,1,4,1,0,0.343,0.4,0.556,0.956,666126
96,Colton Cowser,26,2,Maj-AL,Baltimore,35,88,76,8,13,2,0,0,7,10,0,29,0,1,1,1,0,1,0.171,0.264,0.197,0.462,681297
97,J.P. Crawford,31,0,Maj-AL,Seattle,37,160,130,22,28,4,0,5,15,28,0,24,2,0,0,3,1,2,0.215,0.363,0.362,0.724,641487
98,Justin Crawford,22,0,Maj-NL,Philadelphia,39,135,122,11,33,7,2,2,11,11,0,28,2,0,0,0,4,2,0.27,0.341,0.41,0.751,702222
99,Jake Cronenworth,32,10,Maj-NL,San Diego,32,114,97,13,14,2,0,1,4,14,0,23,3,0,0,1,1,0,0.144,0.272,0.196,0.468,630105
100,Pete Crow-Armstrong,24,0,Maj-NL,Chicago,44,178,160,24,38,5,2,4,17,14,1,45,3,1,0,2,11,3,0.238,0.311,0.369,0.679,691718
101,Oneil Cruz,27,0,Maj-NL,Pittsburgh,42,194,177,34,46,9,0,10,30,15,2,65,2,0,0,3,15,2,0.26,0.325,0.48,0.805,665833
102,Travis d\'Arnaud,37,8,Maj-AL,Los Angeles,14,40,35,5,7,1,0,1,3,3,0,7,2,0,0,1,0,0,0.2,0.3,0.314,0.614,518595
103,Henry Davis,26,1,Maj-NL,Pittsburgh,32,100,86,10,13,3,0,2,8,11,0,18,2,1,0,2,1,0,0.151,0.263,0.256,0.518,680779
105,Elly De La Cruz,24,0,Maj-NL,Cincinnati,44,195,177,33,53,10,0,10,29,17,0,54,0,0,1,2,9,4,0.299,0.359,0.525,0.884,682829
106,Deyvison De Los Santos,23,29,Maj-NL,Miami,3,7,7,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0.286,0.286,0.429,0.714,691277
107,Adrian Del Castillo,26,1,Maj-NL,Arizona,26,93,86,7,17,4,0,3,16,6,0,30,0,0,1,4,0,0,0.198,0.247,0.349,0.596,680728
108,Chase DeLauter,24,1,Maj-AL,Cleveland,40,165,143,16,42,10,1,6,26,20,0,16,0,0,2,4,0,0,0.294,0.376,0.503,0.879,800050
109,Jonny DeLuca,27,1,Maj-AL,Tampa Bay,34,99,93,16,26,9,0,2,15,5,0,19,0,1,0,4,6,1,0.28,0.316,0.441,0.757,676356
110,Rafael Devers,29,0,Maj-NL,San Francisco,44,180,166,16,41,9,0,5,18,12,2,55,0,0,2,6,0,0,0.247,0.294,0.392,0.686,646240
111,Zach Dezenzo,26,1,Maj-AL,Houston,7,17,16,2,3,2,0,1,2,1,0,5,0,0,0,0,0,0,0.188,0.235,0.5,0.735,701305
112,Elias D\xc3\xadaz,35,1,Maj-AL,Kansas City,8,20,19,2,4,2,0,1,3,1,0,4,0,0,0,0,0,0,0.211,0.25,0.474,0.724,553869
113,Yainer Diaz,27,11,Maj-AL,Houston,26,106,101,7,24,5,0,2,14,3,0,16,0,0,2,3,0,1,0.238,0.255,0.347,0.601,673237
114,Yandy D\xc3\xadaz,34,1,Maj-AL,Tampa Bay,40,176,155,20,46,4,1,5,24,14,2,22,6,0,1,4,1,0,0.297,0.375,0.432,0.807,650490
115,Dillon Dingler,27,0,Maj-AL,Detroit,38,152,137,16,33,9,0,8,28,9,0,29,4,0,0,5,0,0,0.241,0.307,0.482,0.788,693307
116,Jasson Dom\xc3\xadnguez,23,7,Maj-AL,New York,9,32,30,3,6,2,0,1,4,1,0,4,1,0,0,0,0,0,0.2,0.25,0.367,0.617,691176
117,Brendan Donovan,29,0,Maj-AL,Seattle,24,96,79,9,22,4,1,3,8,11,0,13,5,0,1,0,1,1,0.278,0.396,0.468,0.864,680977
118,Brenton Doyle,28,0,Maj-NL,Colorado,40,114,104,17,20,3,0,1,3,10,0,38,0,0,0,0,8,2,0.192,0.263,0.25,0.513,686668
119,Mauricio Dub\xc3\xb3n,31,0,Maj-NL,Atlanta,42,169,156,19,40,10,2,3,25,11,0,30,2,0,0,4,0,2,0.256,0.314,0.404,0.717,643289
120,Blake Dunn,27,0,Maj-NL,Cincinnati,7,17,14,3,3,1,0,1,1,3,0,4,0,0,0,0,1,0,0.214,0.353,0.5,0.853,694362
121,Ezequiel Duran,27,1,Maj-AL,Texas,35,116,102,17,30,8,1,3,16,12,0,25,0,1,1,1,4,1,0.294,0.365,0.48,0.846,677649
122,Jarren Duran,29,0,Maj-AL,Boston,38,163,152,19,27,6,0,4,18,10,0,43,1,0,0,1,9,0,0.178,0.233,0.296,0.529,680776
123,Rodolfo Dur\xc3\xa1n,28,1,Maj-NL,San Diego,3,8,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,660710
124,Caleb Durbin,26,0,Maj-AL,Boston,41,150,134,14,23,8,0,1,14,11,0,23,4,1,0,4,4,2,0.172,0.255,0.254,0.509,702332
125,Xavier Edwards,26,0,Maj-NL,Miami,44,185,160,31,50,8,3,4,15,24,0,20,0,1,0,4,4,1,0.313,0.402,0.475,0.877,669364
126,Bryce Eldridge,21,1,Maj-NL,San Francisco,7,23,21,1,2,0,0,1,1,2,1,9,0,0,0,0,0,0,0.095,0.174,0.238,0.412,805811
